Identity,Type,Source,Source Owner,Account Name,Entitlement Name,Display Name,Description,Decision Comments,Status,Recipient,Requester,Completed,Comments
Vera Oshyna (427789),Entitlement,Database Access Review,Peter Fictum (100254),dc1\voshyna,Entitlement,"Server: P3PWPSQL02, Database: GoDaddy, DB Role: db_ddladmin, Status: Enabled","Server: P3PWPSQL02, Database: GoDaddy, DB Role: db_ddladmin, Status: Enabled",,Finished,Peter Fictum (100254),Hemanth Kumar Guntupalli (419032),"2/19/26, 12:06 AM",
N1_q55F823628CCA4D N1_q55F823628CCA4D (N1_q55F823628CCA4D),Entitlement,Database Access Review,Peter Fictum (100254),n1_q55f823628cca4d,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2006, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2006, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
e8D61E915F63F4B e8D61E915F63F4B (e8D61E915F63F4B),Entitlement,Database Access Review,Peter Fictum (100254),e8d61e915f63f4b,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2016, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2016, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
gD5395C31EB8348 gD5395C31EB8348 (gD5395C31EB8348),Entitlement,Database Access Review,Peter Fictum (100254),gd5395c31eb8348,Entitlement,"Server: P3PWBIGRPTSQL03, Database: Server Level Permission, DB Role: sysadmin, Status: Enabled","Server: P3PWBIGRPTSQL03, Database: Server Level Permission, DB Role: sysadmin, Status: Enabled",,Finished,Peter Fictum (100254),Peter Fictum (100254),"2/27/26, 9:03 PM",
goon_01hzg5v5ftkcf3bvc4gzrgwn9d goon_01hzg5v5ftkcf3bvc4gzrgwn9d (goon_01hzg5v5ftkcf3bvc4gzrgwn9d),Entitlement,Database Access Review,Peter Fictum (100254),goon_01hzg5v5ftkcf3bvc4gzrgwn9d,Entitlement,"Server: A2PWPSQL01, Database: gdMasterPromo, DB Role: db_datawriter, Status: Enabled","Server: A2PWPSQL01, Database: gdMasterPromo, DB Role: db_datawriter, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Open,Peter Fictum (100254),Rachit Tanwar (440439),,
goon_01j1tq5qz035qxrd2h2vyyweza goon_01j1tq5qz035qxrd2h2vyyweza (goon_01j1tq5qz035qxrd2h2vyyweza),Entitlement,Database Access Review,Peter Fictum (100254),goon_01j1tq5qz035qxrd2h2vyyweza,Entitlement,"Server: P3PWPSQL02, Database: gdMasterPromo, DB Role: db_datawriter, Status: Enabled","Server: P3PWPSQL02, Database: gdMasterPromo, DB Role: db_datawriter, Status: Enabled",Certification Items Revoked By Rachit Tanwar,Open,Peter Fictum (100254),Rachit Tanwar (440439),,
oE342dxg23R8 oE342dxg23R8 (oE342dxg23R8),Entitlement,Database Access Review,Peter Fictum (100254),oe342dxg23r8,Entitlement,"Server: P3PWBIGRPTSQL03, Database: Server Level Permission, DB Role: sysadmin, Status: Enabled","Server: P3PWBIGRPTSQL03, Database: Server Level Permission, DB Role: sysadmin, Status: Enabled",,Finished,Peter Fictum (100254),Peter Fictum (100254),"2/27/26, 9:03 PM",
a8HN9Xm7HY6OWEa a8HN9Xm7HY6OWEa (a8HN9Xm7HY6OWEa),Entitlement,Database Access Review,Peter Fictum (100254),a8hn9xm7hy6owea,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2020, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2020, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
r39EF07C3E73C42 r39EF07C3E73C42 (r39EF07C3E73C42),Entitlement,Database Access Review,Peter Fictum (100254),r39ef07c3e73c42,Entitlement,"Server: P3PWDREVSQL01, Database: deferredRevenue_2021, DB Role: db_datawriter, Status: Enabled","Server: P3PWDREVSQL01, Database: deferredRevenue_2021, DB Role: db_datawriter, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
t41E987C0443D47 t41E987C0443D47 (t41E987C0443D47),Entitlement,Database Access Review,Peter Fictum (100254),t41e987c0443d47,Entitlement,"Server: P3PWPCISQL02, Database: Server Level Permission, DB Role: sysadmin, Status: Enabled","Server: P3PWPCISQL02, Database: Server Level Permission, DB Role: sysadmin, Status: Enabled",,Open,Peter Fictum (100254),Peter Fictum (100254),,
